time,x_current,x_hat,distortion,threshold,tx_decision
300.0,-2.1245635812006394,-2.1245635812006394,0.3698392748552186,0.2,True
600.0,-4.500390558303894,-4.500390558303894,2.3758269771032547,0.35,True
900.0,-4.560311574385488,-4.500390558303894,0.05992101608159395,0.35,False
1200.0,-4.488693209353122,-4.500390558303894,0.011697348950772124,0.2,False
1500.0,-4.0352806216724995,-4.0352806216724995,0.46510993663139466,0.2,True
1800.0,-4.556659202323812,-4.556659202323812,0.5213785806513123,0.35,True
2100.0,-3.346309423553402,-3.346309423553402,1.2103497787704098,0.35,True
2400.0,-3.5584674726540615,-3.346309423553402,0.2121580491006596,0.35,False
2700.0,-2.3366374527797706,-2.3366374527797706,1.0096719707736312,0.2,True
3000.0,-3.681319926438604,-3.681319926438604,1.3446824736588332,0.35,True
3300.0,-1.7897734834334007,-1.7897734834334007,1.8915464430052031,0.35,True
3600.0,-2.1167005160476786,-1.7897734834334007,0.3269270326142779,0.35,False
