time,x
0.0,0.0012301533574825742
1.0,0.018478024696706067
2.0,0.0026475091787321464
3.0,-0.048771287231924206
4.0,-0.07501337916593422
5.0,-0.1322532951980002
6.0,-0.12875829225867963
7.0,-0.05135891607133028
8.0,-0.07976769219356253
9.0,-0.11557718991068529
10.0,-0.08727638653037276
11.0,-0.06665658447155048
12.0,-0.060559094156223
13.0,-0.11426933839832668
14.0,-0.11593865732310231
15.0,-0.07577548744981726
16.0,-0.15337079571508827
17.0,-0.1797650332610137
18.0,-0.28950144614720497
19.0,-0.36390344822167414
20.0,-0.4701738561692718
21.0,-0.48366646660220675
22.0,-0.5567598342410414
23.0,-0.5410031938328944
24.0,-0.5318606740806674
25.0,-0.5425622086873622
26.0,-0.6877746402598376
27.0,-0.7187585050646874
28.0,-0.7214358273196302
29.0,-0.714770591106055
30.0,-0.8029908213696553
31.0,-0.8304366378765161
32.0,-0.8867894892232452
33.0,-0.9333361207946176
34.0,-0.8719255442419399
35.0,-0.9183995134254018
36.0,-0.9201201425703752
37.0,-0.8689025632406674
38.0,-0.9024481997181973
39.0,-0.9087430295037903
40.0,-0.9022100177559654
41.0,-0.8983733307421715
42.0,-0.9689483732290354
43.0,-0.9643867606267541
44.0,-0.8857701793096626
45.0,-0.9749431849933298
46.0,-0.9251600231236675
47.0,-0.9181109470744455
48.0,-0.9549892945146151
49.0,-0.8393319234969709
50.0,-0.7951793437699287
51.0,-0.8642843745449019
52.0,-0.8598344173936014
53.0,-0.8263922288574048
54.0,-0.8371502874251888
55.0,-0.7975793230139647
56.0,-0.801283345703955
57.0,-0.7626227999872094
58.0,-0.6794392791281609
59.0,-0.7183324983788024
60.0,-0.7064814769376891
61.0,-0.7331097701254645
62.0,-0.7256365903082349
63.0,-0.7940552413000161
64.0,-0.8273654804765777
65.0,-0.8385514113366289
66.0,-0.7865178936952556
67.0,-0.7202640047827852
68.0,-0.7965547789916788
69.0,-0.8422972959626283
70.0,-0.804804307746724
71.0,-0.9196991258352016
72.0,-0.9462830159050939
73.0,-0.951738099763883
74.0,-0.8790015941813758
75.0,-0.8390485646461115
76.0,-0.8577967939841836
77.0,-0.8789298816108887
78.0,-0.8932246552772163
79.0,-0.8051109359346242
80.0,-0.829685323309261
81.0,-0.8470764731876868
82.0,-0.8265749151343518
83.0,-0.833406286278673
84.0,-0.844654014825276
85.0,-0.9088303067131727
86.0,-0.9093401225956118
87.0,-0.9347948329002048
88.0,-0.8673085989918757
89.0,-0.8294542390000973
90.0,-0.8307063651354478
91.0,-0.7919753486860044
92.0,-0.8114623278961283
93.0,-0.7505790542101755
94.0,-0.7507624767199538
95.0,-0.7169525281678827
96.0,-0.7913597120580442
97.0,-0.7712088368479149
98.0,-0.8685454988076354
99.0,-0.9859067810606814
100.0,-1.0033172081788815
101.0,-1.055103022676622
102.0,-1.0454510464880968
103.0,-0.9156712287505713
104.0,-0.9635342430888367
105.0,-0.999392914112346
106.0,-0.98736305251417
107.0,-0.9587301142818166
108.0,-0.9687510158382376
109.0,-0.9804747883878072
110.0,-0.939750445821615
111.0,-0.9095729018164409
112.0,-0.9690967004654736
113.0,-0.9735025563169154
114.0,-0.9712988362107617
115.0,-1.0320134780562724
116.0,-1.0168352244308485
117.0,-1.066195523502806
118.0,-1.0098909459346643
119.0,-0.9985901014636694
120.0,-0.9932632671121706
121.0,-1.0272164936743653
