time,x_current,x_hat,distortion,threshold,tx_decision
300.0,-2.1245635812006394,3.200914709117712,5.325478290318351,,True
600.0,-4.500390558303894,-2.1245635812006394,2.3758269771032547,,True
900.0,-4.560311574385488,-4.500390558303894,0.05992101608159395,,True
1200.0,-4.488693209353122,-4.560311574385488,0.07161836503236607,,True
1500.0,-4.0352806216724995,-4.488693209353122,0.45341258768062254,,True
1800.0,-4.556659202323812,-4.0352806216724995,0.5213785806513123,,True
2100.0,-3.346309423553402,-4.556659202323812,1.2103497787704098,,True
2400.0,-3.5584674726540615,-3.346309423553402,0.2121580491006596,,True
2700.0,-2.3366374527797706,-3.5584674726540615,1.2218300198742909,,True
3000.0,-3.681319926438604,-2.3366374527797706,1.3446824736588332,,True
3300.0,-1.7897734834334007,-3.681319926438604,1.8915464430052031,,True
3600.0,-2.1167005160476786,-1.7897734834334007,0.3269270326142779,,True
