time,x_current,x_hat,distortion,threshold,tx_decision
99.0,-0.9859067810606814,0.0012301533574825742,0.987136934418164,0.9530000000000001,True
226.0,-1.873158006625451,-0.9859067810606814,0.8872512255647695,0.869,True
435.0,-2.5131086404376655,-1.873158006625451,0.6399506338122145,0.623,True
501.0,-3.6526882087890233,-2.5131086404376655,1.1395795683513579,1.052,True
576.0,-4.684690832981943,-3.6526882087890233,1.0320026241929194,1.025,True
707.0,-3.8104341313543535,-4.684690832981943,0.8742567016275893,0.857,True
837.0,-4.69767657086589,-3.8104341313543535,0.8872424395115366,0.86,True
956.0,-3.757521799954049,-4.69767657086589,0.9401547709118412,0.893,True
1135.0,-4.500450311192584,-3.757521799954049,0.7429285112385355,0.713,True
1297.0,-3.7124119623423586,-4.500450311192584,0.7880383488502258,0.764,True
1533.0,-3.058909223945918,-3.7124119623423586,0.6535027383964405,0.542,True
1687.0,-3.953024436227566,-3.058909223945918,0.894115212281648,0.788,True
1916.0,-3.377564808982949,-3.953024436227566,0.5754596272446171,0.563,True
2154.0,-2.8409522945127614,-3.377564808982949,0.5366125144701877,0.536,True
2313.0,-3.6186678059447748,-2.8409522945127614,0.7777155114320133,0.7729999999999999,True
2570.0,-3.131194838958861,-3.6186678059447748,0.4874729669859139,0.479,True
2666.0,-2.1427019147112025,-3.131194838958861,0.9884929242476583,0.962,True
2760.0,-3.145453686428722,-2.1427019147112025,1.0027517717175196,0.968,True
2999.0,-3.6978432003436383,-3.145453686428722,0.5523895139149162,0.533,True
3133.0,-2.811574862727889,-3.6978432003436383,0.8862683376157494,0.848,True
3203.0,-1.7598165105118158,-2.811574862727889,1.0517583522160732,1.04,True
3515.0,-2.0938083618699643,-1.7598165105118158,0.3339918513581486,0.31399999999999995,True
