devices,protocol,success_probability,success_probability_std,mean_aoi_s,mean_aoi_s_std,mean_semantic_distortion,mean_semantic_distortion_std,mean_realistic_distortion,mean_realistic_distortion_std,energy_efficiency_bits_per_j,energy_efficiency_bits_per_j_std,goodput_bits,setup_h1_5_6_pct,setup_h2_2_3_pct,setup_h3_1_2_pct
10000,DR8,0.9250414223708885,0.007624897776217679,237.21898135491767,2.0913148392626493,0.5125629768961498,0.006627560321081881,0.8967911731346647,0.007885922881812946,528.4380768976579,4.355790151622428,374720.0,0.0,0.0,0.0
10000,DR9,0.8112404458524104,0.008970761381133511,257.25912405516294,1.0379057356933852,0.5026230720904998,0.003437299315509936,0.9078919072563891,0.009583016626170851,748.5977833423212,8.278053836127485,328400.0,0.0,0.0,0.0
10000,Semantic,0.8041348717166761,0.0034065945843816206,238.05171622422182,0.6811777529067997,0.34460047327027776,0.0006016293641115249,0.9859512351632975,0.005989882877531149,697.0901610581279,3.2227515987728,291840.0,16.687886786119368,49.85990930986457,33.45220390401606
27500,DR8,0.44892177126482213,0.0034804539746528763,357.40733455902,1.9668308861176065,0.5286185762107076,0.006598940288252494,1.140382393938113,0.0021119768402560516,256.450523995623,1.9882400513296157,496080.0,0.0,0.0,0.0
27500,DR9,0.3897273225380394,0.001014851205738957,380.1035739086119,0.7754107573112832,0.5203203237060423,0.0037393768888859453,1.1673645685312488,0.019527673502863503,359.6332150985843,0.936486052838051,428760.0,0.0,0.0,0.0
27500,Semantic,0.42062643116204557,0.0007104551866537419,368.26209964789984,0.8942708788998365,0.3456359127649114,0.0004811198081420653,1.0430742912627413,0.012024295834999461,364.9844935961496,1.1583177861765084,418120.0,16.47420282179567,50.552972340812524,32.972824837391805
45000,DR8,0.12623779358293516,0.002614841250198012,512.2184494703686,2.382310261040453,0.5266041618958937,0.002168699391359406,1.386532940980243,0.002018117796619036,72.11445375256045,1.4937511426308507,225240.0,0.0,0.0,0.0
45000,DR9,0.1411425018414485,0.00889939388469287,501.3787368168104,5.526715767352396,0.5143655618439567,0.0064395644553009845,1.3655012204404486,0.019198145095812254,130.24370832851505,8.212197221220684,254840.0,0.0,0.0,0.0
45000,Semantic,0.18278446491382108,0.004702267808522723,483.2986827413097,2.0217948996330724,0.3460731313756472,0.00020887173715448325,1.1075293856952646,0.005064683528823257,158.66210702216353,4.0107007236707455,297320.0,16.56420521364408,50.474526317113444,32.96126846924248
62500,DR8,0.024341925521060608,0.000676041213851554,581.1393588731523,0.9023042104968887,0.528231082222811,0.006556465907457751,1.4960542443382625,0.02385480311639279,13.90553979449561,0.38619451011787076,60560.0,0.0,0.0,0.0
62500,DR9,0.046995030426155604,0.0007923416322680427,564.9116617585443,0.8543452440453444,0.5243316268209797,0.002660734542248633,1.4613285714022006,0.012343211190524752,43.36615091738748,0.7311583052822174,117560.0,0.0,0.0,0.0
62500,Semantic,0.07145869038197739,0.0008308805283953302,552.544765285088,1.3862127828517223,0.3457188687211333,0.0003491262268839761,1.1500538853886724,0.010501470942925114,62.04084603167577,0.7479697091197828,161240.0,16.60698973932402,50.44313490238035,32.94987535829563
80000,DR8,0.0041902581969930335,0.0002662180737863655,596.6629602270442,0.3629322529547969,0.5272905568473834,0.004567969231504303,1.5172767088812527,0.004290353856669378,2.3937219780368384,0.15207942427756235,13360.0,0.0,0.0,0.0
80000,DR9,0.014354175322503136,0.0006898551852928544,588.3700816628816,0.37349079259285195,0.5225095922843102,0.0030788760834621173,1.4968298826151396,0.015231860210185464,13.2457693438127,0.6365856943865587,46040.0,0.0,0.0,0.0
80000,Semantic,0.027611237258294778,0.0009068821725768092,582.2738892566787,0.9712961812707327,0.3454583548413851,0.0004796218513287056,1.169467217555372,0.0034805173707304067,23.99562527802767,0.792230564143399,79640.0,16.790669496054154,50.34505633364845,32.86427417029739
97500,DR8,0.0004870749574271114,0.00010377741088301113,599.6488657503633,0.11694689738137086,0.5233410970147435,0.006846111543055558,1.5120590230146322,0.009893152791036416,0.2782458683289063,0.05928376190104188,1880.0,0.0,0.0,0.0
97500,DR9,0.004403591949679703,0.0001102521146452088,596.4189817397612,0.10932671230021934,0.5194084493716773,0.005724424377638572,1.5074400261655425,0.017722836202647443,4.063553770190295,0.10173862638895868,17200.0,0.0,0.0,0.0
