devices,nodes_simulated,protocol,seed,success_probability,mean_aoi_s,mean_semantic_distortion,mean_realistic_distortion,energy_efficiency_bits_per_j,goodput_bits,total_tx_airtime_s,transmitted_packets,setup_h1_5_6_pct,setup_h2_2_3_pct,setup_h3_1_2_pct
10000,1250,DR8,0,0.9304330392943063,238.69776425935635,0.5078765840503899,0.8912149835890206,531.5180856512957,371280.0,6985.275008000001,4988,0.0,0.0,0.0
10000,1250,DR8,1,0.9196498054474708,235.740198450479,0.5172493697419097,0.9023673626803088,525.3580681440201,378160.0,7198.138240000006,5140,0.0,0.0,0.0
10000,1250,DR9,0,0.8048971596474045,256.5252138712217,0.5050536097454649,0.9011156912158004,742.7443153397683,328720.0,4425.749120000024,5105,0.0,0.0,0.0
10000,1250,DR9,1,0.8175837320574163,257.99303423910413,0.5001925344355349,0.914668123296978,754.4512513448743,328080.0,4348.591104000016,5016,0.0,0.0,0.0
10000,1250,Semantic,0,0.8065436978480457,237.570050815948,0.345025889473402,0.981715748362082,699.3689905677,293840.0,4201.501696,4554,16.42512077294686,50.46113306982872,33.11374615722442
10000,1250,Semantic,1,0.8017260455853065,238.53338163249563,0.34417505706715357,0.990186721964513,694.8113315485559,289840.0,4171.492128000001,4519,16.950652799291877,49.25868554990042,33.7906616508077
27500,3437,DR8,0,0.44646071865773745,356.01657510199914,0.5239524207842391,1.1418757870835672,255.0446259727011,496000.0,19447.576992000202,13887,0.0,0.0,0.0
27500,3437,DR8,1,0.45138282387190687,358.7980940160409,0.533284731637176,1.138889000792659,257.85642201854483,496160.0,19241.71584000016,13740,0.0,0.0,0.0
27500,3437,DR9,0,0.389009714368566,379.55527570391206,0.5176761849504987,1.1535564181765772,358.97101946013584,429280.0,11958.625536000185,13794,0.0,0.0,0.0
27500,3437,DR9,1,0.39044493070751274,380.6518721133117,0.5229644624615858,1.1811727188859205,360.2954107370327,428240.0,11885.802240000157,13710,0.0,0.0,0.0
27500,3437,Semantic,0,0.4211287988422576,367.6297546452121,0.3459761158438118,1.03457183013882,365.80354795752396,419040.0,11455.329024,12438,16.45762984402637,50.87634667953047,32.66602347644316
27500,3437,Semantic,1,0.42012406348183357,368.89444465058756,0.345295709686011,1.0515767523866626,364.1654392347752,417200.0,11456.331520000002,12413,16.49077579956497,50.229598002094576,33.27962619834045
45000,5625,DR8,0,0.12438882160319382,513.9029972108406,0.5250706598499082,1.3879599657594657,71.05821219020103,221840.0,31219.47388800078,22293,0.0,0.0,0.0
45000,5625,DR8,1,0.12808676556267648,510.53390172989657,0.528137663941879,1.3851059162010204,73.17069531491988,228640.0,31247.482208000707,22313,0.0,0.0,0.0
45000,5625,DR9,0,0.13484968007713208,505.2867150135958,0.5098121021497254,1.3519260818569967,124.43680798494859,246160.0,19781.92819200044,22818,0.0,0.0,0.0
45000,5625,DR9,1,0.14743532360576492,497.47075862002487,0.5189190215381878,1.3790763590239008,136.05060867208152,263520.0,19369.262848000475,22342,0.0,0.0,0.0
45000,5625,Semantic,0,0.17945945945945946,484.7283076250086,0.3462208259973874,1.10394811362747,155.82611334314615,292160.0,18749.103968000003,20350,16.565110565110565,50.56019656019656,32.874692874692876
45000,5625,Semantic,1,0.1861094703681827,481.86905785761076,0.3459254367539071,1.1111106577630594,161.4981007011809,302480.0,18729.632032,20316,16.563299862177594,50.38885607403032,33.047844063792084
62500,7812,DR8,0,0.024819958847736627,580.5013334472169,0.5235949607190292,1.479186351290791,14.178620551456973,61760.0,43558.53926400029,31104,0.0,0.0,0.0
62500,7812,DR8,1,0.02386389219438459,581.7773842990879,0.5328672037265928,1.5129221373857338,13.632459037534247,59360.0,43543.13468800025,31093,0.0,0.0,0.0
62500,7812,DR9,0,0.04755530056734876,564.3075484430053,0.5224502033832185,1.4526006030677627,43.8831579131734,119360.0,27199.501056000576,31374,0.0,0.0,0.0
62500,7812,DR9,1,0.046434760284962455,565.5157750740832,0.526213050258741,1.4700565397366383,42.84914392160156,115760.0,27015.708928000742,31162,0.0,0.0,0.0
62500,7812,Semantic,0,0.07204621163796159,551.564564826166,0.345965738243653,1.1426282240724965,62.5697404851165,162640.0,25993.395328000002,28218,16.595789921326812,50.54929477638387,32.85491530228932
62500,7812,Semantic,1,0.07087116912599319,553.5249657440099,0.34547199919861354,1.1574795467048482,61.51195157823504,159840.0,25985.19408,28192,16.618189557321227,50.33697502837684,33.04483541430193
80000,10000,DR8,0,0.004378502802241793,596.4063283698686,0.5240605148275352,1.514242970575512,2.501258370222449,14000.0,55971.826687999885,39968,0.0,0.0,0.0
80000,10000,DR8,1,0.004002013591744274,596.9195920842199,0.5305205988672316,1.5203104471869935,2.286185585851228,12720.0,55638.52767999975,39730,0.0,0.0,0.0
80000,10000,DR9,0,0.013866374042945856,588.6341795350348,0.520332498127261,1.4860593309704317,12.795635282505616,44480.0,34761.85356800043,40097,0.0,0.0,0.0
80000,10000,DR9,1,0.014841976602060415,588.1059837907285,0.5246866864413593,1.5076004342598472,13.695903405119783,47600.0,34754.91801600049,40089,0.0,0.0,0.0
80000,10000,Semantic,0,0.02825249979226103,581.5870791403615,0.34579749870486487,1.167006120120491,24.555816882196712,81600.0,33230.415584,36103,16.710522671246157,50.53873639309753,32.75074093565632
80000,10000,Semantic,1,0.02696997472432853,582.9606993729958,0.3451192109779053,1.171928314990253,23.43543367385863,77680.0,33146.388960000004,36003,16.87081632086215,50.15137627419937,32.977807404938474
97500,12187,DR8,0,0.0004136932464577516,599.7315596945404,0.5185001651178894,1.505063507588776,0.23632591827443092,1600.0,67703.11151999915,48345,0.0,0.0,0.0
97500,12187,DR8,1,0.0005604566683964712,599.5661718061862,0.5281820289115976,1.5190545384404888,0.3201658183833817,2160.0,67465.04079999926,48175,0.0,0.0,0.0
97500,12187,DR9,0,0.004481551967585487,596.4962873993935,0.5153606700758594,1.494908088504792,4.135493842818533,17520.0,42364.95244799904,48867,0.0,0.0,0.0
97500,12187,DR9,1,0.004325631931773919,596.3416760801289,0.5234562286674951,1.519971963826293,3.991613697562058,16880.0,42288.66137599871,48779,0.0,0.0,0.0
97500,12187,Semantic,0,0.011597294721074848,593.5193094224716,0.3461500804313516,1.1740967228604384,10.074935668026288,40880.0,40575.941472000006,44062,16.66969270573283,50.48567927011938,32.844628024147795
97500,12187,Semantic,1,0.010923354085425645,593.9145517324098,0.3451301414616002,1.1755878713502184,9.489608796349248,38320.0,40381.011296000004,43851,16.768146678525007,50.29303778705161,32.93881553442339
