time,x_current,x_hat,distortion,threshold,tx_decision
212.25877673757645,-1.486708161069217,3.200914709117712,4.687622870186929,,True
519.819781226048,-3.7604636929550668,-1.486708161069217,2.2737555318858496,,True
690.3843784410235,-4.311303828747728,-3.7604636929550668,0.5508401357926611,,True
958.9173375195724,-3.7734648266249406,-4.311303828747728,0.5378390021227872,,True
1020.877163724524,-3.749462044864742,-3.7734648266249406,0.024002781760198655,,True
2035.9683691554,-3.7422388855517403,-3.749462044864742,0.007223159313001659,,True
2038.8944571500253,-3.7136597563711655,-3.7422388855517403,0.028579129180574814,,True
2881.6591860832605,-3.060690146156351,-3.7136597563711655,0.6529696102148144,,True
3054.2590129882196,-3.679626093731043,-3.060690146156351,0.6189359475746921,,True
3144.4192167546757,-2.812375808195915,-3.679626093731043,0.8672502855351283,,True
3306.759985011139,-1.8347040954671,-2.812375808195915,0.977671712728815,,True
3400.4036686263685,-1.7027809578285034,-1.8347040954671,0.13192313763859653,,True
