lambda_s,protocol,seed,success_probability,mean_aoi_s,mean_semantic_distortion,energy_efficiency,goodput_bits,transmitted
60,DR8,0,0.0,1800.0,0.7276816119046382,0.0,0.0,440479
60,DR8,1,0.0,1800.0,0.7294060619862883,0.0,0.0,439715
60,DR8,2,0.0,1800.0,0.7262240768926689,0.0,0.0,439870
60,DR9,0,0.0,1800.0,0.7280010466936347,0.0,0.0,443462
60,DR9,1,0.0,1800.0,0.7282049592824068,0.0,0.0,443738
60,DR9,2,0.0,1800.0,0.7270632363986631,0.0,0.0,443981
60,Semantic,0,0.02701342600505137,1590.2169025951625,0.8693055069308967,23.822673319112376,227600.0,105318
60,Semantic,1,0.02706293175434601,1590.4621701708163,0.8684334127089499,23.88390701015794,228160.0,105384
60,Semantic,2,0.028306481649492413,1582.2405493962706,0.8665644101526806,24.985698991778623,237120.0,104711
120,DR8,0,4.4934732301332314e-06,1799.9441402522257,0.7352711488970444,0.002566936241878578,80.0,222545
120,DR8,1,0.0,1800.0,0.7369991504280798,0.0,0.0,222484
120,DR8,2,0.0,1800.0,0.7358901569412272,0.0,0.0,222586
120,DR9,0,0.00010724196020429593,1798.6017901264738,0.7375161498353233,0.09896091115854715,1920.0,223793
120,DR9,1,0.00011640453261341606,1797.8296292843272,0.7376835356407991,0.10741596468829798,2080.0,223359
120,DR9,2,0.00011183530685371494,1797.7146787361617,0.7342559213629957,0.10319956708042419,2000.0,223543
120,Semantic,0,0.25242111247986354,1043.9033600204023,0.8714110608814574,223.21195263428356,1065520.0,52765
120,Semantic,1,0.25599727783133897,1038.7492669322946,0.8756082016465017,226.20432964066953,1083360.0,52899
120,Semantic,2,0.2552466741100997,1042.94457850801,0.8731473238428723,225.73389997040834,1079040.0,52843
180,DR8,0,0.0003758944273651143,1795.1160160967747,0.7442902404698929,0.21473300925731853,4480.0,148978
180,DR8,1,0.00038995528960903623,1795.1773926103497,0.748020868070751,0.2227654009146106,4640.0,148735
180,DR8,2,0.00046645259422004395,1794.5859070463646,0.7473986913846415,0.26646516133494635,5520.0,147925
180,DR9,0,0.0037401970641463907,1758.7946646698633,0.7455122524123399,3.451385154424191,44640.0,149190
180,DR9,1,0.0037190110234958705,1756.101119412952,0.7457936531323592,3.4318350652368648,44560.0,149771
180,DR9,2,0.0038407494145199063,1754.6394851775005,0.7472826635337085,3.5441730164992538,45920.0,149450
180,Semantic,0,0.46713048416867814,924.41348481895,0.8762266905472185,413.64178642417795,1316000.0,35215
180,Semantic,1,0.4651904090267983,924.0624122122302,0.8806794555395132,412.41220665426835,1319280.0,35450
180,Semantic,2,0.4670149675232985,925.0207752700061,0.8763263966566477,413.87318368448507,1322960.0,35410
300,DR8,0,0.029442516462003916,1607.1599568366728,0.7659832695662939,16.819297387064662,211760.0,89904
300,DR8,1,0.030790420757986405,1593.7184795247535,0.7633792895759911,17.589299612679056,221760.0,90028
300,DR8,2,0.030860335195530726,1603.1794878675119,0.7695153983698779,17.629238852187484,220960.0,89500
300,DR9,0,0.05710393496806467,1451.3297121301002,0.7710225943500719,52.69446235795168,409120.0,89556
300,DR9,1,0.055388803963356804,1461.3639030338807,0.7722228374368041,51.11177096869656,397120.0,89621
300,DR9,2,0.055726034122990056,1460.746426836193,0.7707558070840389,51.422960766084366,399520.0,89617
300,Semantic,0,0.6927267647606631,960.7082064724252,0.8898235453986618,616.3084139637655,1190160.0,21476
300,Semantic,1,0.693570008782878,959.85045295468,0.8947974721194022,615.9096908056671,1200320.0,21633
300,Semantic,2,0.6902504922837386,950.7783326542379,0.8961947987370797,613.2711975022847,1205840.0,21837
450,DR8,0,0.18553915436577434,1157.8867804043134,0.7969385285322952,105.99087949053825,889920.0,59955
450,DR8,1,0.18528569525839106,1162.4240735331382,0.7996826786563095,105.84608873842859,890320.0,60064
450,DR8,2,0.194680239439954,1152.91697489875,0.8018417983454522,111.21280501791229,921040.0,59138
450,DR9,0,0.18661702622743742,1158.9055942203015,0.7912538372590473,172.20676419924436,898240.0,60166
450,DR9,1,0.190949801251195,1151.979860311213,0.8041267259304007,176.204969410893,910800.0,59623
450,DR9,2,0.19222992731222324,1147.5921380195875,0.7996978917942598,177.38624622787503,920320.0,59845
450,Semantic,0,0.8159156279961649,1067.1311861047825,0.9155108836293504,726.6495148918576,953120.0,14602
450,Semantic,1,0.8152299436179608,1065.7738426272954,0.9213253590417331,725.0182822896095,960080.0,14721
450,Semantic,2,0.8172612979952429,1059.1903315440668,0.9175022436578442,725.4981589733138,962080.0,14715
600,DR8,0,0.3945810156109815,938.6351677170668,0.8350678032412515,225.4078877196371,1407360.0,44584
600,DR8,1,0.3932361935599928,944.0346407067617,0.8399151177867749,224.63964625367944,1399040.0,44472
600,DR8,2,0.3886927374301676,957.4913311683554,0.8327210261629736,222.04415683920513,1391520.0,44750
600,DR9,0,0.33830413267353215,1012.4067571239805,0.8273822209479401,312.180839983696,1214160.0,44862
600,DR9,1,0.3384268760596056,1020.8281501134913,0.8382721234282227,312.29410532593073,1213680.0,44828
600,DR9,2,0.3348593270812036,1018.4213557415782,0.82508056685486,309.0020366539957,1205440.0,44998
600,Semantic,0,0.8708244491826581,1156.8872002719156,0.934840596423147,777.053057813816,784160.0,11256
600,Semantic,1,0.8646475475743769,1161.371345393479,0.9460393981876131,769.8632473729072,774240.0,11193
600,Semantic,2,0.8726240879200072,1169.500343290039,0.9279390015125691,778.3001629415218,774960.0,11101
900,DR8,0,0.6747689033716832,870.6171753083047,0.8827292603419311,385.4676915269029,1623440.0,30074
900,DR8,1,0.6712543321780858,876.0367693971048,0.8855609020261266,383.459961713135,1611440.0,30008
900,DR8,2,0.6699067909454062,877.2758529345638,0.8831469881372078,382.69016689063756,1609920.0,30040
900,DR9,0,0.5479071944370153,977.584408095821,0.8975915150343655,505.5986955900296,1311120.0,29912
900,DR9,1,0.5497181964573269,977.4059113711351,0.8926884212385324,507.26985499161594,1310880.0,29808
900,DR9,2,0.5542317447603792,971.5579434628596,0.8821801172513254,511.43487446512404,1328560.0,29964
900,Semantic,0,0.9206802544463196,1299.168152047073,0.9730857288801207,821.6062594218843,567360.0,7703
900,Semantic,1,0.9164739141608841,1300.2038552931856,0.9905018679994873,815.8634083403588,570560.0,7782
900,Semantic,2,0.9214659685863874,1308.6875751870678,0.9747426712840946,820.9253460238814,563200.0,7640
1200,DR8,0,0.8161663636766727,919.1622785014987,0.920871332384441,466.2422386928541,1472560.0,22553
1200,DR8,1,0.808991741377026,920.1254570129072,0.9241471486200014,462.14367238133224,1465440.0,22643
1200,DR8,2,0.8233408577878104,922.6258821353679,0.9418786297376717,470.34073177555814,1458960.0,22150
1200,DR9,0,0.6811838947649098,1013.3255727044318,0.9178122851143333,628.5839867533696,1226240.0,22502
1200,DR9,1,0.6832174336714355,1012.967339871802,0.9295785048902251,630.4604991062106,1234000.0,22577
1200,DR9,2,0.6763041831870629,1013.643458549631,0.92237974765711,624.0810785352193,1214480.0,22447
1200,Semantic,0,0.9535081743869209,1389.4557884788628,0.9986248129258278,849.4964226475169,447920.0,5872
1200,Semantic,1,0.9458119940525359,1383.923728474305,1.0233312076344625,842.5275978634289,458000.0,6053
1200,Semantic,2,0.9449073286855977,1393.9739552540916,1.0118980603890566,841.5062820102129,444560.0,5881
1800,DR8,0,0.9252114164904862,1058.152937585109,0.9799488071234093,528.5351875387931,1120320.0,15136
1800,DR8,1,0.9237017310252996,1059.6290431673515,0.9772118420953942,527.6727663923989,1109920.0,15020
1800,DR8,2,0.9255211495648654,1063.0367356129073,0.9908897265783866,528.7121252912214,1097520.0,14823
1800,DR9,0,0.808182784272051,1123.8643881974076,0.9816471250520277,745.776229396165,973440.0,15056
1800,DR9,1,0.812302733194547,1119.7200759042219,0.9796255416382179,749.5780425905529,967680.0,14891
1800,DR9,2,0.817115983307942,1113.6577427254865,0.9799019807955421,754.0196213900097,986880.0,15097
1800,Semantic,0,0.96529284164859,1497.2533665801875,1.043540671664088,861.2899002707584,320400.0,4149
1800,Semantic,1,0.9609356725146199,1488.6161055687194,1.0448040050722847,854.6663078566128,328640.0,4275
1800,Semantic,2,0.9636060894386299,1496.0902215360136,1.0389416404165286,857.0470269721985,324080.0,4204
