lambda_s,protocol,success_probability,success_probability_std,mean_aoi_s,mean_aoi_s_std,mean_semantic_distortion,mean_semantic_distortion_std,energy_efficiency,energy_efficiency_std,goodput_bits
60,DR8,0.0,0.0,1800.0,0.0,0.7277705835945318,0.0015928572614035495,0.0,0.0,0.0
60,DR9,0.0,0.0,1800.0,0.0,0.7277564141249014,0.0006089060732820447,0.0,0.0,0.0
60,Semantic,0.027460946469629932,0.0007326731946046026,1587.6398740540833,4.677560167038445,0.8681011099308424,0.0014004362674324951,24.23075977368298,0.6545130315692055,230960.0
120,DR8,1.4978244100444105e-06,2.5943079790137983e-06,1799.9813800840755,0.03225064041436858,0.7360534854221171,0.0008755024085161617,0.000855645413959526,0.0014820213302412033,26.666666666666668
120,DR9,0.00011182726655714231,4.58129149616886e-06,1798.0486993823208,0.4824266116018007,0.736485202279706,0.001932427115359201,0.10319214764242311,0.004227531647874823,2000.0
120,Semantic,0.2545550214737674,0.0018857431379385712,1041.865735153569,2.7411851684600985,0.8733888621236104,0.0021089697025314523,225.0500607484538,1.609132405428266,1075973.3333333333
180,DR8,0.0004107674370647315,4.8734530954134796e-05,1794.9597719178298,0.32522757523207063,0.7465699333084285,0.0019986309153360924,0.23465452383562516,0.02784003093602715,4880.0
180,DR9,0.0037666525007207224,6.503826993035798e-05,1756.5117564201053,2.1078060198156146,0.7461961896928025,0.0009513756600505461,3.4757977453867697,0.060016120930858036,45040.0
180,Semantic,0.4664452869062583,0.0010882898938740925,924.4988907670621,0.48485623601956657,0.8777441809144598,0.0025425111937661753,413.3090589209771,0.7852669382094941,1319413.3333333333
300,DR8,0.030364424138507016,0.0007991603907481866,1601.3526414096461,6.9044445154677305,0.7662926525040543,0.0030797315035951955,17.34594528397707,0.45652742656364176,218160.0
300,DR9,0.05607292435147051,0.0009086628713604242,1457.8133473333912,5.623474308707473,0.7713337462903049,0.0007814449189908805,51.74306469757753,0.8384974082390546,401920.0
300,Semantic,0.6921824219424266,0.0017254069881737718,957.112330693781,5.502143550290526,0.8936052720850479,0.0033487643940730365,615.1631007572391,1.6505206705101347,1198773.3333333333
450,DR8,0.18850169635470646,0.005352275812397375,1157.742609612067,4.75518874746306,0.7994876685113522,0.002457444899205515,107.6832577489597,3.0575347967442807,900426.6666666666
450,DR9,0.1899322515969519,0.002941550632070629,1152.8258641837008,5.70397797292075,0.7983594849945693,0.0065399782306486305,175.2659932793375,2.7144088956806476,909786.6666666666
450,Semantic,0.8161356232031229,0.0010333917794521433,1064.0317867587148,4.247394704469008,0.9181128287763092,0.0029549351465757716,725.7219853849269,0.8383338520905386,958426.6666666666
600,DR8,0.39216998220038063,0.0030855404682465105,946.7203798640612,9.710747712777668,0.8359013157303333,0.0036687594463256073,224.03056360417386,1.7626422253081995,1399306.6666666667
600,DR9,0.3371967786047804,0.0020252225071606305,1017.21875432635,4.337586033023131,0.830244970410341,0.00704633181665567,311.1589939878741,1.8688381322540761,1211093.3333333333
600,Semantic,0.869365361559014,0.0041836588641368105,1162.586296318478,6.393740963749191,0.9362729987077764,0.009134819219735243,775.0721560427482,4.553939497616039,777786.6666666666
900,DR8,0.6719766754983917,0.002510252819086579,874.643265879991,3.5413113350518852,0.8838123835017552,0.0015285980178873812,383.87260671022517,1.434004078265791,1614933.3333333333
900,DR9,0.5506190452182405,0.0032570892781316734,975.5160876432719,3.4290150604625906,0.8908200178414077,0.007873753478968154,508.10114168225647,3.005582162751802,1316853.3333333333
900,Semantic,0.9195400457311971,0.0026842519968005795,1302.6865275091088,5.22279620781397,0.9794434227212342,0.009612662144880043,819.4650045953748,3.137599791561074,567040.0
1200,DR8,0.8161663209471697,0.007174558205487646,920.6378725499245,1.787754120417691,0.9289657035807046,0.011302233825830742,466.24221428324813,4.098529697167475,1465653.3333333333
1200,DR9,0.680235170541136,0.0035529306641842572,1013.3121237086216,0.3382599196528177,0.9232568458872228,0.005931943857842604,627.7085214649331,3.2785791600691363,1224906.6666666667
1200,Semantic,0.9480758323750181,0.004726241599542664,1389.1178240690867,5.033629857070439,1.0112846936497824,0.012364612769607848,844.5101008403863,4.34837042939163,450160.0
1800,DR8,0.924811432360217,0.0009734276726492216,1060.2729054551226,2.5047534366265034,0.9826834585990634,0.0072373938681332935,528.3066930741378,0.5560791494238645,1109253.3333333333
1800,DR9,0.8125338335915133,0.004471081166655293,1119.0807356090388,5.1332708828927665,0.9803915491619293,0.0010961102881429832,749.7912977922425,4.125831580037098,976000.0
1800,Semantic,0.9632782012006132,0.0021970124574015744,1493.98656456164,4.687173876061081,1.0424287723843004,0.003085298988033213,857.6677450331899,3.3551396842177055,324373.3333333333
