devices,protocol,success_probability,success_probability_std,mean_aoi_s,mean_aoi_s_std,mean_semantic_distortion,mean_semantic_distortion_std,energy_efficiency_bits_per_j,energy_efficiency_bits_per_j_std,goodput_bits
10000,DR8,0.9250414223708885,0.007624897776217679,237.21898135491767,2.0913148392626493,0.8699752642600325,0.00888619809347311,528.4380768976579,4.355790151622428,374720.0
10000,DR9,0.8112404458524104,0.008970761381133511,257.25912405516294,1.0379057356933852,0.8488708430675773,0.00970621344272515,748.5977833423212,8.278053836127485,328400.0
10000,Semantic,0.9769710613948689,0.01548796336072964,432.7860779085136,5.016057476718805,0.9770044682460708,0.012658890511439792,858.8771233549155,14.832558286649247,96840.0
27500,DR8,0.44892177126482213,0.0034804539746528763,357.40733455902,1.9668308861176065,0.8916726943928908,0.01454420163021788,256.450523995623,1.9882400513296157,496080.0
27500,DR9,0.3897273225380394,0.001014851205738957,380.1035739086119,0.7754107573112832,0.8822434381680828,0.008840841630818375,359.6332150985843,0.936486052838051,428760.0
27500,Semantic,0.8774671757708781,0.008815528928100998,441.8943376917513,0.6150754835324455,0.9822372341588218,0.008734607590968934,772.0764950854189,8.56889943806755,244480.0
45000,DR8,0.12623779358293516,0.002614841250198012,512.2184494703686,2.382310261040453,0.8890544960979123,0.0017639249584487948,72.11445375256045,1.4937511426308507,225240.0
45000,DR9,0.1411425018414485,0.00889939388469287,501.3787368168104,5.526715767352396,0.8745377778130873,0.013451409289508528,130.24370832851505,8.212197221220684,254840.0
45000,Semantic,0.7807259130512769,0.0017813098052033964,457.7491084545471,1.181487292032537,0.9806469458177152,0.006923380248756149,688.0753284079598,0.6419456118267252,353200.0
62500,DR8,0.024341925521060608,0.000676041213851554,581.1393588731523,0.9023042104968887,0.8941421376000691,0.015307979152029987,13.90553979449561,0.38619451011787076,60560.0
62500,DR9,0.046995030426155604,0.0007923416322680427,564.9116617585443,0.8543452440453444,0.8818886454402806,0.01172766867348551,43.36615091738748,0.7311583052822174,117560.0
62500,Semantic,0.6557461180316009,0.0015862684425468317,477.65995255051257,3.05331407114686,0.9772642835165859,0.009043149639810948,577.6098939524618,2.139214862460989,415600.0
80000,DR8,0.0041902581969930335,0.0002662180737863655,596.6629602270443,0.36293225295467635,0.8904383858402721,0.005677127343589264,2.3937219780368384,0.15207942427756235,13360.0
80000,DR9,0.014354175322503136,0.0006898551852928544,588.3700816628816,0.37349079259285195,0.8806802801522025,0.003038455205922015,13.2457693438127,0.6365856943865587,46040.0
80000,Semantic,0.5455458561319338,0.013983984007309151,495.2407178735533,2.666303043327459,0.9823090234378,0.0026305947020488635,480.1219742032117,12.703327706417829,439760.0
97500,DR8,0.0004870749574271114,0.00010377741088301113,599.6488657503633,0.11694689738137086,0.8857326444605735,0.013767157023977487,0.2782458683289063,0.05928376190104188,1880.0
97500,DR9,0.004403591949679703,0.0001102521146452088,596.4189817397612,0.10932671230021934,0.8797746011855586,0.01373578458313552,4.063553770190295,0.10173862638895868,17200.0
97500,Semantic,0.4430935485391178,0.0002584264276994433,513.8320086491128,0.29818873761122733,0.9796737438152823,0.0005815997324237851,390.3698132632843,1.6436030168164624,434480.0
115000,DR8,9.629618414017595e-05,3.7108912998261524e-05,599.9342544887568,0.015587116217578825,0.8854601942958477,0.0027548727933004533,0.05501004509527352,0.021198794071625844,440.0
115000,DR9,0.0013921381497804964,0.00011240258613396008,598.8400773393716,0.08228606048065239,0.8848440573133038,0.002973589491014859,1.2846395151526027,0.10372304198099985,6360.0
115000,Semantic,0.3579969478995647,0.006903666621397661,529.1462064484052,0.49120456332006507,0.9872527864077094,0.010723157208364389,314.6612247843816,6.509121106286607,414120.0
132500,DR8,7.600632372613402e-06,1.0748917383961867e-05,599.9967432490839,0.0046057413146706255,0.8812389981382696,0.006718613226107971,0.004341928325648189,0.006140413924983573,40.0
132500,DR9,0.00041686681015457846,0.00011977124422749789,599.6838140844311,0.10037260181920202,0.8844325020826636,0.003392037754239986,0.3846770357989542,0.11052270432923805,2200.0
132500,Semantic,0.28399584976627124,0.001735092419532381,542.9739856087277,0.45116424235662916,0.9817496888706456,0.003020764001057317,250.21986554921853,1.2057179923508365,377720.0
150000,DR8,0.0,0.0,600.0,0.0,0.882176019799038,0.00434329372917457,0.0,0.0,0.0
150000,DR9,0.00012716824034031702,2.829648935943592e-05,599.8919223925237,0.041463643827890674,0.8863755081808813,0.002902593613241869,0.11734851648118333,0.026111480657979053,760.0
150000,Semantic,0.2205249903564369,0.00119035542403874,555.3342494918443,0.23433424781752177,0.9791390586080748,0.008276827181577703,194.137881750443,1.3499004175029572,330960.0
